,index,homepage,download_time,url,uuid
121,4,http://antigreen.blogspot.com/,2159,2159,2159
122,47,http://tomnelson.blogspot.com/,2159,2159,2159
123,66,http://www.mikesmithenterprisesblog.com/,2159,2159,2159
124,24,http://hockeyschtick.blogspot.com/,2160,2160,2160
125,120,https://sunshinehours.net/,2197,2197,2197
126,83,https://chiefio.wordpress.com/,2331,2331,2331
127,76,https://americanelephant.wordpress.com/,2457,2457,2457
128,5,http://blog.heartland.org/,2458,2458,2458
129,119,https://stevengoddard.wordpress.com/,2461,2461,2461
130,108,https://notalotofpeopleknowthat.wordpress.com/,2462,2462,2462
131,122,https://tallbloke.wordpress.com,2462,2462,2462
132,36,http://notrickszone.com/,2463,2463,2463
133,49,http://www.c3headlines.com/,2463,2463,2463
134,73,http://www.timworstall.com/,2464,2464,2464
135,131,https://wattsupwiththat.com/,2466,2466,2466
136,30,http://joannenova.com.au/,2467,2467,2467
