homepage,recent_post
http://ccgi.newbery1.plus.com/blog/,http://ccgi.newbery1.plus.com/blog/?p=736
http://principia-scientific.org/,http://principia-scientific.org/zika-virus-used-to-treat-aggressive-brain-cancer/
https://geoffchambers.wordpress.com/,https://geoffchambers.wordpress.com/2015/10/19/new-blog-cliscep-com/
http://scottishsceptic.co.uk/,http://scottishsceptic.co.uk/2017/09/07/the-future-of-marriage/
https://polarbearscience.com/,https://polarbearscience.com/2017/08/29/polar-bear-facts-myths-translations-in-french-and-german-coming-soon/
http://www.heliogenic.net/,http://www.heliogenic.net/2012/01/11/the-horror/
https://calderup.wordpress.com/,https://calderup.wordpress.com/2014/11/04/memorial-meeting-further-details/
http://www.climate-resistance.org/,http://www.climate-resistance.org/2016/02/ask-a-stupid-question.html
https://greenhellblog.com/,https://greenhellblog.com/2011/04/26/paul-driessen-on-oregon-dems-attack-on-skeptics-kids/
https://americanelephant.wordpress.com/,https://americanelephant.wordpress.com/2017/09/08/letting-go/
https://climatesanity.wordpress.com/,https://climatesanity.wordpress.com/2015/12/09/comparison-of-arizona-nuclear-and-solar-energy/
https://enthusiasmscepticismscience.wordpress.com/,https://enthusiasmscepticismscience.wordpress.com/2015/03/09/tom-wigley-the-skepticism-and-loyalty-of-crus-second-director/
https://talkingabouttheweather.wordpress.com/,https://talkingabouttheweather.wordpress.com/2015/02/26/additional-winter-storm-names-as-needed/
https://troyca.wordpress.com/,https://troyca.wordpress.com/2014/09/03/cmip5-processing-on-github-with-another-comparison-of-observed-temperatures-to-cmip5-model-runs/
http://www.hi-izuru.org/,http://www.hi-izuru.org/wp_blog/2017/08/sick-2/
http://blog.heartland.org/,http://blog.heartland.org/2017/09/arizona-legislature-hosts-balanced-budget-amendment-convention-planning-meeting/
https://defyccc.com/,https://defyccc.com/first-amendment-violation-by-proxy/
http://www.carlineconomics.com/,http://www.carlineconomics.com/archives/3825
